Name: Bon | ID: 921450 | Dept: IT | Type: Serializable
Name: Bet | ID: 345050 | Dept: Admin | Type: Serializable
Name: Pit | ID: 967892 | Dept: Finance | Type: Serializable
Name: Nux | ID: 947636 | Dept: Non-IT | Type: Serializable
Name: Suh | ID: 363232 | Dept: Finance | Type: Serializable
Name: Jeh | ID: 123898 | Dept: Admin | Type: Serializable
Name: Kir | ID: 565094 | Dept: Stores | Type: Serializable
Name: Bam | ID: 365854 | Dept: Stores | Type: Serializable
Name: Yiy | ID: 985472 | Dept: IT | Type: Serializable
Name: Fag | ID: 367272 | Dept: IT | Type: Serializable
Name: Mof | ID: 307070 | Dept: HR | Type: Serializable
Name: Fum | ID: 945430 | Dept: Stores | Type: Serializable
Name: Fuz | ID: 965272 | Dept: Non-IT | Type: Serializable
Name: Gux | ID: 549810 | Dept: Admin | Type: Serializable
Name: Qis | ID: 169232 | Dept: Stores | Type: Serializable
Name: Fan | ID: 927214 | Dept: Non-IT | Type: Serializable
Name: Sug | ID: 167250 | Dept: IT | Type: Serializable
Name: Kep | ID: 987672 | Dept: Non-IT | Type: Serializable
Name: Hed | ID: 383610 | Dept: Finance | Type: Serializable
Name: Faq | ID: 783016 | Dept: Non-IT | Type: Serializable
Name: Rex | ID: 923498 | Dept: Non-IT | Type: Serializable
Name: Xud | ID: 125256 | Dept: Developer | Type: Serializable
Name: Kaf | ID: 329656 | Dept: Non-IT | Type: Serializable
Name: Zil | ID: 967096 | Dept: IT | Type: Serializable
Name: Xed | ID: 989876 | Dept: Stores | Type: Serializable
Name: Coq | ID: 501898 | Dept: HR | Type: Serializable
Name: Xit | ID: 721070 | Dept: Non-IT | Type: Serializable
Name: Bex | ID: 181256 | Dept: Admin | Type: Serializable
Name: Bon | ID: 921450 | Dept: IT | Type: Externalizable
Name: Bet | ID: 345050 | Dept: Admin | Type: Externalizable
Name: Pit | ID: 967892 | Dept: Finance | Type: Externalizable
Name: Nux | ID: 947636 | Dept: Non-IT | Type: Externalizable
Name: Suh | ID: 363232 | Dept: Finance | Type: Externalizable
Name: Jeh | ID: 123898 | Dept: Admin | Type: Externalizable
Name: Kir | ID: 565094 | Dept: Stores | Type: Externalizable
Name: Bam | ID: 365854 | Dept: Stores | Type: Externalizable
Name: Yiy | ID: 985472 | Dept: IT | Type: Externalizable
Name: Fag | ID: 367272 | Dept: IT | Type: Externalizable
Name: Mof | ID: 307070 | Dept: HR | Type: Externalizable
Name: Fum | ID: 945430 | Dept: Stores | Type: Externalizable
Name: Fuz | ID: 965272 | Dept: Non-IT | Type: Externalizable
Name: Gux | ID: 549810 | Dept: Admin | Type: Externalizable
Name: Qis | ID: 169232 | Dept: Stores | Type: Externalizable
Name: Fan | ID: 927214 | Dept: Non-IT | Type: Externalizable
Name: Sug | ID: 167250 | Dept: IT | Type: Externalizable
Name: Kep | ID: 987672 | Dept: Non-IT | Type: Externalizable
Name: Hed | ID: 383610 | Dept: Finance | Type: Externalizable
Name: Faq | ID: 783016 | Dept: Non-IT | Type: Externalizable
Name: Rex | ID: 923498 | Dept: Non-IT | Type: Externalizable
Name: Xud | ID: 125256 | Dept: Developer | Type: Externalizable
Name: Kaf | ID: 329656 | Dept: Non-IT | Type: Externalizable
Name: Zil | ID: 967096 | Dept: IT | Type: Externalizable
Name: Xed | ID: 989876 | Dept: Stores | Type: Externalizable
Name: Coq | ID: 501898 | Dept: HR | Type: Externalizable
Name: Xit | ID: 721070 | Dept: Non-IT | Type: Externalizable
Name: Bex | ID: 181256 | Dept: Admin | Type: Externalizable
